,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of movie,Certificate,Votes,Gross,Description,Director,Stars
223,Hacksaw Ridge,(2016),139 min,8.1,71        ,A,"475,738",$67.21M,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Mel Gibson,"['Andrew Garfield', 'Sam Worthington', 'Luke Bracey', 'Teresa Palmer']"
224,Inside Out,(I) (2015),95 min,8.1,94        ,U,"661,734",$356.46M,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Directors:Pete Docter, Ronnie Del Carmen","['Amy Poehler', 'Bill Hader', 'Lewis Black', 'Mindy Kaling']"
225,Barfi!,(2012),151 min,8.1,****,U,"79,316",$2.80M,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,Anurag Basu,"['Ranbir Kapoor', 'Priyanka Chopra Jonas', ""Ileana D'Cruz"", 'Saurabh Shukla']"
226,12 Years a Slave,(2013),134 min,8.1,96        ,A,"669,977",$56.67M,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",Steve McQueen,"['Chiwetel Ejiofor', 'Michael Kenneth Williams', 'Michael Fassbender', 'Brad Pitt']"
227,Rush,(I) (2013),123 min,8.1,74        ,R,"456,718",$26.95M,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,Ron Howard,"['Daniel Brühl', 'Chris Hemsworth', 'Olivia Wilde', 'Alexandra Maria Lara']"
228,Ford v Ferrari,(2019),152 min,8.1,81        ,UA,"343,641",$117.62M,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,James Mangold,"['Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitriona Balfe']"
229,Spotlight,(I) (2015),129 min,8.1,93        ,A,"447,055",$45.06M,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Tom McCarthy,"['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams', 'Liev Schreiber']"
230,Song of the Sea,(2014),93 min,8.1,85        ,PG,"55,874",$0.86M,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.",Tomm Moore,"['David Rawle', 'Brendan Gleeson', 'Lisa Hannigan', 'Fionnula Flanagan']"
231,Kahaani,(2012),122 min,8.1,****,UA,"60,858",$1.04M,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",Sujoy Ghosh,"['Vidya Balan', 'Parambrata Chattopadhyay', 'Indraneil Sengupta', 'Nawazuddin Siddiqui']"
232,Prisoners,(2013),153 min,8.1,70        ,A,"649,363",$61.00M,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",Denis Villeneuve,"['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis', 'Melissa Leo']"
233,Mad Max: Fury Road,(2015),120 min,8.1,90        ,UA,"938,909",$154.06M,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",George Miller,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Zoë Kravitz']"
234,Warrior,(2011),140 min,8.1,71        ,UA,"453,054",$13.66M,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Gavin O'Connor,"['Tom Hardy', 'Nick Nolte', 'Joel Edgerton', 'Jennifer Morrison']"
235,A Wednesday,(2008),104 min,8.1,****,UA,"76,785",%^%^%^,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,Neeraj Pandey,"['Anupam Kher', 'Naseeruddin Shah', 'Virendra Saxena', 'Mahesh Kanual']"
236,Zack Snyder's Justice League,(2021),242 min,8.1,54        ,18,"347,518",%^%^%^,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",Zack Snyder,"['Henry Cavill', 'Ben Affleck', 'Gal Gadot', 'Amy Adams']"
237,Gran Torino,(2008),116 min,8.1,72        ,UA,"747,295",$148.10M,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",Clint Eastwood,"['Clint Eastwood', 'Bee Vang', 'Christopher Carley', 'Ahney Her']"
238,Harry Potter and the Deathly Hallows: Part 2,(2011),130 min,8.1,85        ,UA,"812,306",$381.01M,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",David Yates,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Michael Gambon']"
239,Okuribito,(2008),130 min,8.1,68        ,PG-13,"50,740",$1.50M,A newly unemployed cellist takes a job preparing the dead for funerals.,Yôjirô Takita,"['Masahiro Motoki', 'Ryôko Hirosue', 'Tsutomu Yamazaki', 'Kazuko Yoshiyuki']"
240,CODA,(2021),111 min,8.1,75        ,A,"25,736",%^%^%^,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music by wanting to go to Berkeley and her fear of abandoning her parents.",Sian Heder,"['Emilia Jones', 'Marlee Matlin', 'Troy Kotsur', 'Daniel Durant']"
241,Hachi: A Dog's Tale,(2009),93 min,8.1,****,U,"269,188",%^%^%^,A college professor bonds with an abandoned dog he takes into his home.,Lasse Hallström,"['Richard Gere', 'Joan Allen', 'Cary-Hiroyuki Tagawa', 'Sarah Roemer']"
242,Mary and Max.,(2009),92 min,8.1,****,****,"171,769",%^%^%^,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",Adam Elliot,"['Toni Collette', 'Philip Seymour Hoffman', 'Eric Bana', 'Barry Humphries']"
243,How to Train Your Dragon,(2010),98 min,8.1,75        ,U,"699,793",$217.58M,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Directors:Dean DeBlois, Chris Sanders","['Jay Baruchel', 'Gerard Butler', 'Christopher Mintz-Plasse', 'Craig Ferguson']"
244,Into the Wild,(2007),148 min,8.1,73        ,U,"599,123",$18.35M,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",Sean Penn,"['Emile Hirsch', 'Vince Vaughn', 'Catherine Keener', 'Marcia Gay Harden']"
245,No Country for Old Men,(2007),122 min,8.1,91        ,18,"911,442",$74.28M,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"Directors:Ethan Coen, Joel Coen","['Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin', 'Woody Harrelson']"
246,Lage Raho Munna Bhai,(2006),144 min,8.1,****,U,"45,561",$2.22M,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,Rajkumar Hirani,"['Sanjay Dutt', 'Arshad Warsi', 'Vidya Balan', 'Boman Irani']"
247,V for Vendetta,(2005),132 min,8.1,62        ,UA,"1,076,510",$70.51M,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V,"" plots to overthrow it with the help of a young woman.",James McTeigue,"['Hugo Weaving', 'Natalie Portman', 'Rupert Graves', 'Stephen Rea']"
248,Dare mo shiranai,(2004),141 min,8.1,88        ,PG-13,"26,629",$0.68M,"In a small Tokyo apartment, twelve-year-old Akira must care for his younger siblings after their mother leaves them and shows no sign of returning.",Hirokazu Koreeda,"['Yûya Yagira', 'Ayu Kitaura', 'Hiei Kimura', 'Momoko Shimizu']"
249,Rang De Basanti,(2006),167 min,8.1,****,UA,"116,981",$2.20M,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Rakeysh Omprakash Mehra,"['Aamir Khan', 'Soha Ali Khan', 'Siddharth', 'Sharman Joshi']"
250,Million Dollar Baby,(2004),132 min,8.1,86        ,UA,"662,257",$100.49M,A determined woman works with a hardened boxing trainer to become a professional.,Clint Eastwood,"['Hilary Swank', 'Clint Eastwood', 'Morgan Freeman', 'Jay Baruchel']"
251,Hotel Rwanda,(2004),121 min,8.1,79        ,UA,"345,550",$23.53M,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Terry George,"['Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix', 'Xolani Mali']"
252,Before Sunset,(2004),80 min,8.1,90        ,A,"250,285",$5.82M,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff', 'Louise Lemoine Torrès']"
253,Munna Bhai M.B.B.S.,(2003),156 min,8.1,****,U,"78,531",%^%^%^,A gangster sets out to fulfill his father's dream of becoming a doctor.,Rajkumar Hirani,"['Sanjay Dutt', 'Arshad Warsi', 'Gracy Singh', 'Boman Irani']"
254,Salinui chueok,(2003),131 min,8.1,82        ,UA,"162,890",$0.01M,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Bong Joon Ho,"['Kang-ho Song', 'Kim Sang-kyung', 'Roe-ha Kim', 'Jae-ho Song']"
255,Dil Chahta Hai,(2001),183 min,8.1,****,Unrated,"70,099",$0.30M,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",Farhan Akhtar,"['Aamir Khan', 'Saif Ali Khan', 'Akshaye Khanna', 'Preity Zinta']"
256,Kill Bill: Vol. 1,(2003),111 min,8.1,69        ,R,"1,056,284",$70.10M,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino,"['Uma Thurman', 'David Carradine', 'Daryl Hannah', 'Michael Madsen']"
257,Finding Nemo,(2003),100 min,8.1,90        ,U,"991,822",$380.84M,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Directors:Andrew Stanton, Lee Unkrich","['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe']"
258,Catch Me If You Can,(2002),141 min,8.1,75        ,A,"900,248",$164.62M,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Steven Spielberg,"['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken', 'Martin Sheen']"
259,Amores perros,(2000),154 min,8.1,83        ,A,"233,429",$5.38M,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",Alejandro G. Iñárritu,"['Emilio Echevarría', 'Gael García Bernal', 'Goya Toledo', 'Álvaro Guerrero']"
260,"Monsters, Inc.",(2001),92 min,8.1,79        ,U,"858,598",$289.92M,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","Directors:Pete Docter, David Silverman, Lee Unkrich","['Billy Crystal', 'John Goodman', 'Mary Gibbs', 'Steve Buscemi']"
261,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",(1997),87 min,8.1,****,Not Rated,"48,131",%^%^%^,Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,"Directors:Hideaki Anno, Kazuya Tsurumaki","['Megumi Ogata', 'Megumi Hayashibara', 'Yûko Miyamura', 'Kotono Mitsuishi']"
262,Lagaan: Once Upon a Time in India,(2001),224 min,8.1,84        ,U,"110,013",$0.07M,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Ashutosh Gowariker,"['Aamir Khan', 'Raghuvir Yadav', 'Gracy Singh', 'Rachel Shelley']"
263,The Sixth Sense,(1999),107 min,8.1,64        ,A,"949,129",$293.51M,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.",M. Night Shyamalan,"['Bruce Willis', 'Haley Joel Osment', 'Toni Collette', 'Olivia Williams']"
264,Festen,(1998),105 min,8.1,82        ,R,"84,055",$1.65M,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",Thomas Vinterberg,"['Ulrich Thomsen', 'Henning Moritzen', 'Thomas Bo Larsen', 'Paprika Steen']"
265,La leggenda del pianista sull'oceano,(1998),169 min,8.1,58        ,U,"61,971",$0.26M,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",Giuseppe Tornatore,"['Tim Roth', 'Pruitt Taylor Vince', 'Mélanie Thierry', 'Bill Nunn']"
266,The Truman Show,(1998),103 min,8.1,90        ,U,"1,000,697",$125.62M,An insurance salesman discovers his whole life is actually a reality TV show.,Peter Weir,"['Jim Carrey', 'Ed Harris', 'Laura Linney', 'Noah Emmerich']"
267,"Crna macka, beli macor",(1998),127 min,8.1,73        ,R,"52,651",$0.35M,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,Emir Kusturica,"['Bajram Severdzan', ""Srdjan 'Zika' Todorovic"", 'Branka Katic', 'Florijan Ajdini']"
268,The Big Lebowski,(1998),117 min,8.1,71        ,UA,"772,428",$17.50M,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.","Directors:Joel Coen, Ethan Coen","['Jeff Bridges', 'John Goodman', 'Julianne Moore', 'Steve Buscemi']"
269,Fa Yeung Nin Wah,(2000),98 min,8.1,85        ,U,"138,991",$2.73M,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Kar-Wai Wong,"['Tony Chiu-Wai Leung', 'Maggie Cheung', 'Siu Ping-Lam', ""Tung Cho 'Joe' Cheung""]"
270,Trainspotting,(1996),93 min,8.1,83        ,A,"660,744",$16.50M,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Danny Boyle,"['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller', 'Kevin McKidd']"
271,Fargo,(1996),98 min,8.1,85        ,A,"648,470",$24.61M,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"Directors:Joel Coen, Ethan Coen","['William H. Macy', 'Frances McDormand', 'Steve Buscemi', 'Peter Stormare']"
272,Underground,(1995),170 min,8.1,79        ,****,"57,235",$0.17M,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.",Emir Kusturica,"[""Predrag 'Miki' Manojlovic"", 'Lazar Ristovski', 'Mirjana Jokovic', 'Slavko Stimac']"
273,La haine,(1995),98 min,8.1,****,Not Rated,"162,214",$0.31M,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Mathieu Kassovitz,"['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui', 'Abdel Ahmed Ghili']"
